Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d'insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l'université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;329;81;55;90;61;65;97;1750;27300;26;11.4;1840;40;43;53;1430;2210;Nice - Sophia-Antipolis_18;disc01_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;73;82;12;93;80;84;96;2000;31200;26;11.4;1840;48;32;68;1430;2210;Nice - Sophia-Antipolis_30;disc02_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;33;84;5;97;57;78;100;ns;;26;11.4;1840;43;41;43;1430;2210;Nice - Sophia-Antipolis_30;disc03_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;20;77;3;ns;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc10_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;39;91;6;100;100;85;97;ns;;26;11.4;1840;74;52;74;1430;2210;Nice - Sophia-Antipolis_30;disc14_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;68;84;11;96;98;96;98;2090;32600;26;11.4;1840;95;30;19;1430;2210;Nice - Sophia-Antipolis_18;disc16_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;30;83;5;96;ns;ns;ns;ns;;26;11.4;1840;ns;ns;73;1430;2210;Nice - Sophia-Antipolis_30;disc17_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;73;82;12;85;72;66;93;1970;30700;26;11.4;1840;38;32;68;1430;2210;Nice - Sophia-Antipolis_18;disc02_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;22;87;4;ns;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc05_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;15;86;2;ns;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc08_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;15;86;2;ns;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc08_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;10;80;2;ns;ns;ns;ns;ns;;26;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc11_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;176;85;28;92;88;75;94;1970;30800;26;11.4;1840;75;39;48;1430;2210;Nice - Sophia-Antipolis_18;disc12_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;39;84;6;90;82;68;91;ns;;26;11.4;1840;67;42;52;1430;2210;Nice - Sophia-Antipolis_30;disc13_30
